EFF_DATE,SITE_NO,SITE_TYPE_CODE,FACILITY_TYPE,STATE_CODE,FACILITY_ID,CITY,COUNTRY_CODE,ICAO_ID,FACILITY_NAME,REGION_CODE,TWR_OPERATOR_CODE,TWR_CALL,TWR_HRS,PRIMARY_APCH_RADIO_CALL,APCH_P_PROVIDER,APCH_P_PROV_TYPE_CD,SECONDARY_APCH_RADIO_CALL,APCH_S_PROVIDER,APCH_S_PROV_TYPE_CD,PRIMARY_DEP_RADIO_CALL,DEP_P_PROVIDER,DEP_P_PROV_TYPE_CD,SECONDARY_DEP_RADIO_CALL,DEP_S_PROVIDER,DEP_S_PROV_TYPE_CD,CTL_FAC_APCH_DEP_CALLS,APCH_DEP_OPER_CODE,CTL_PRVDING_HRS,SECONDARY_CTL_PRVDING_HRS
2025/03/20,788.0,A,ATCT,AZ,SDL,SCOTTSDALE,US,KSDL,SCOTTSDALE,AWP,F,SCOTTSDALE,0600-2100,PHOENIX,P50,T,,,,PHOENIX,P50,T,,,,,,,
2025/03/20,2180.0,A,ATCT,CA,SDM,SAN DIEGO,US,KSDM,BROWN FLD MUNI,AWP,FCT,BROWN,0800-2000,SOCAL,SCT,T,,,,SOCAL,SCT,T,,,,,,,
2025/03/20,50684.4,A,NON-ATCT,AK,SDP,SAND POINT,US,PASD,SAND POINT,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,12503.0,A,NON-ATCT,MT,SDY,SIDNEY,US,KSDY,SIDNEY-RICHLAND RGNL,ANM,,,,SALT LAKE ARTCC,ZLC,C,,,,SALT LAKE ARTCC,ZLC,C,,,,,,,
2025/03/20,26395.0,A,ATCT,WA,SEA,SEATTLE,US,KSEA,SEATTLE-TACOMA INTL,ANM,F,SEATTLE,24,SEATTLE,S46,T,,,,SEATTLE,S46,T,,,,,,,
2025/03/20,2165.0,A,ATCT,CA,SEE,SAN DIEGO/EL CAJON,US,KSEE,GILLESPIE FLD,AWP,F,GILLESPIE,0700-2100,SOCAL,SCT,T,,,,SOCAL,SCT,T,,,,,,,
2025/03/20,3493.0,A,NON-ATCT,FL,SEF,SEBRING,US,KSEF,SEBRING RGNL,ASO,,,,MIAMI ARTCC,ZMA,C,,,,MIAMI ARTCC,ZMA,C,,,,,,,
2025/03/20,21439.0,A,NON-ATCT,PA,SEG,SELINSGROVE,US,KSEG,PENN VALLEY,AEA,,,,HARRISBURG,MDT,A,,,,HARRISBURG,MDT,A,,,,,,,
2025/03/20,511.0,A,ATCT,AL,SEM,SELMA,US,KSEM,CRAIG FLD,ASO,FCT,CRAIG,0700-1900 MON-FRI; 0900-1700 SAT & SUN,MONTGOMERY,MGM,A,ATLANTA ARTCC,ZTL,C,MONTGOMERY,MGM,A,ATLANTA ARTCC,ZTL,C,,,,
2025/03/20,24849.0,A,NON-ATCT,TX,SEP,STEPHENVILLE,US,KSEP,STEPHENVILLE CLARK RGNL,ASW,,,,FORT WORTH ARTCC,ZFW,C,,,,FORT WORTH ARTCC,ZFW,C,,,,,,,
2025/03/20,5643.0,A,NON-ATCT,IN,SER,SEYMOUR,US,KSER,FREEMAN MUNI,AGL,,,,LOUISVILLE,SDF,A,,,,LOUISVILLE,SDF,A,,,,,,,
2025/03/20,12061.0,A,NON-ATCT,MO,SET,ST CHARLES,US,KSET,ST CHARLES COUNTY RGNL/SMARTT FLD,ACE,,,,SAINT LOUIS,T75,T,,,,SAINT LOUIS,T75,T,,,,,,,
2025/03/20,788.3,A,NON-ATCT,AZ,SEZ,SEDONA,US,KSEZ,SEDONA,AWP,,,,PHOENIX,P50,T,,,,PHOENIX,P50,T,,,,,,,
2025/03/20,3407.1,A,ATCT,FL,SFB,ORLANDO,US,KSFB,ORLANDO SANFORD INTL,ASO,F,SANFORD,0630-2300,ORLANDO,F11,T,,,,ORLANDO,F11,T,,,,,,,
2025/03/20,26417.0,A,ATCT,WA,SFF,SPOKANE,US,KSFF,FELTS FLD,ANM,F,FELTS,0600-2000,SPOKANE,GEG,A,,,,SPOKANE,GEG,A,,,,,,,
2025/03/20,8275.0,A,NON-ATCT,ME,SFM,SANFORD,US,KSFM,SANFORD SEACOAST RGNL,ANE,,,,PORTLAND,PWM,A,BOSTON ARTCC,ZBW,C,PORTLAND,PWM,A,BOSTON ARTCC,ZBW,C,,,,
2025/03/20,2187.0,A,ATCT,CA,SFO,SAN FRANCISCO,US,KSFO,SAN FRANCISCO INTL,AWP,F,SAN FRANCISCO,24,NORCAL,NCT,T,,,,NORCAL,NCT,T,,,,,,,
2025/03/20,26028.0,A,NON-ATCT,VA,SFQ,SUFFOLK,US,KSFQ,SUFFOLK EXEC,AEA,,,,NORFOLK,ORF,A,,,,NORFOLK,ORF,A,,,,,,,
2025/03/20,4992.1,A,NON-ATCT,IL,SFY,SAVANNA,US,KSFY,TRI-TOWNSHIP,AGL,,,,QUAD CITY,MLI,A,CHICAGO ARTCC,ZAU,C,QUAD CITY,MLI,A,CHICAGO ARTCC,ZAU,C,,,,
2025/03/20,22000.0,A,NON-ATCT,RI,SFZ,PAWTUCKET,US,KSFZ,NORTH CENTRAL STATE,ANE,,,,PROVIDENCE,PVD,A,BOSTON ARTCC,ZBW,C,PROVIDENCE,PVD,A,BOSTON ARTCC,ZBW,C,,,,
2025/03/20,12138.0,A,ATCT-TRACON,MO,SGF,SPRINGFIELD,US,KSGF,SPRINGFIELD-BRANSON NTL,ACE,F,SPRINGFIELD,24,SPRINGFIELD,SGF,A,,,,SPRINGFIELD,SGF,A,,,,MIZZU; SPRINGFIELD,F,24,
2025/03/20,18536.0,A,NON-ATCT,OH,SGH,SPRINGFIELD,US,KSGH,SPRINGFIELD/BECKLEY MUNI,AGL,,,,COLUMBUS,CMH,A,,,,COLUMBUS,CMH,A,,,,,,,
2025/03/20,3468.0,A,ATCT,FL,SGJ,ST AUGUSTINE,US,KSGJ,NORTHEAST FLORIDA RGNL,ASO,FCT,ST AUGUSTINE,0700-2100,JACKSONVILLE,JAX,A,,,,JACKSONVILLE,JAX,A,,,,,,,
2025/03/20,24067.61,A,ATCT,TX,SGR,HOUSTON,US,KSGR,SUGAR LAND RGNL,ASW,FCT,SUGAR LAND,0600-2200,HOUSTON,I90,T,,,,HOUSTON,I90,T,,,,,,,
2025/03/20,11001.0,A,NON-ATCT,MN,SGS,SOUTH ST PAUL,US,KSGS,SOUTH ST PAUL MUNI/RICHARD E FLEMING FLD,AGL,,,,MINNEAPOLIS,M98,T,,,,MINNEAPOLIS,M98,T,,,,,,,
2025/03/20,1186.0,A,NON-ATCT,AR,SGT,STUTTGART,US,KSGT,STUTTGART MUNI CARL HUMPHREY FLD,ASW,,,,LITTLE ROCK,LIT,A,,,,LITTLE ROCK,LIT,A,,,,,,,
2025/03/20,25282.02,A,NON-ATCT,UT,SGU,ST GEORGE,US,KSGU,ST GEORGE RGNL,ANM,,,,L.A. CENTER ARTCC,ZLA,C,,,,L.A. CENTER ARTCC,ZLA,C,,,,,,,
2025/03/20,11169.01,A,ATCT,MS,SH1,CAMP SHELBY,US,,SHELBY AUXILIARY FLD ONE,ASO,A,SHELBY,"TUE-THU 1030-2300, FRI 0730-1600. FOR WEEKEND HOURS CALL 601-558-4603, DSN 286-4603.",,,,,,,,,,,,,,,,
2025/03/20,26022.1,A,NON-ATCT,VA,SHD,STAUNTON/WAYNESBORO/HARRISONBURG,US,KSHD,SHENANDOAH VALLEY RGNL,AEA,,,,POTOMAC,PCT,T,,,,POTOMAC,PCT,T,,,,,,,
2025/03/20,50702.1,A,NON-ATCT,AK,SHG,SHUNGNAK,US,PAGH,SHUNGNAK,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,50701.01,A,NON-ATCT,AK,SHH,SHISHMAREF,US,PASH,SHISHMAREF,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,6322.0,A,NON-ATCT,IA,SHL,SHELDON,US,KSHL,SHELDON RGNL,ACE,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,,,,
2025/03/20,26405.0,A,NON-ATCT,WA,SHN,SHELTON,US,KSHN,SANDERSON FLD,ANM,,,,SEATTLE,S46,T,,,,SEATTLE,S46,T,,,,,,,
2025/03/20,27882.0,A,NON-ATCT,WY,SHR,SHERIDAN,US,KSHR,SHERIDAN COUNTY,ANM,,,,SALT LAKE ARTCC,ZLC,C,,,,SALT LAKE ARTCC,ZLC,C,,,,,,,
2025/03/20,7735.0,A,ATCT,LA,SHV,SHREVEPORT,US,KSHV,SHREVEPORT RGNL,ASW,F,SHREVEPORT,24,SHREVEPORT,BAD,A,,,,SHREVEPORT,BAD,A,,,,,,,
2025/03/20,50696.7,A,NON-ATCT,AK,SHX,SHAGELUK,US,PAHX,SHAGELUK,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,17052.1,A,NON-ATCT,NC,SIF,REIDSVILLE,US,KSIF,ROCKINGHAM COUNTY NC SHILOH,ASO,,,,GREENSBORO,GSO,A,,,,GREENSBORO,GSO,A,,,,,,,
2025/03/20,53180.0,A,ATCT,PR,SIG,SAN JUAN,US,TJIG,FERNANDO LUIS RIBAS DOMINICCI,ASO,FCT,ISLA GRANDE,0700-1900,SAN JUAN,SJU,A,,,,SAN JUAN,SJU,A,,,,,,,
2025/03/20,12125.0,A,NON-ATCT,MO,SIK,SIKESTON,US,KSIK,SIKESTON MEML MUNI,ACE,,,,MEMPHIS ARTCC,ZME,C,,,,MEMPHIS ARTCC,ZME,C,,,,,,,
2025/03/20,50703.0,A,NON-ATCT,AK,SIT,SITKA,US,PASI,SITKA ROCKY GUTIERREZ,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,5675.1,A,NON-ATCT,IN,SIV,SULLIVAN,US,KSIV,SULLIVAN COUNTY,AGL,,,,HULMAN,HUF,A,,,,HULMAN,HUF,A,,,,,,,
2025/03/20,1906.0,A,NON-ATCT,CA,SIY,MONTAGUE,US,KSIY,SISKIYOU COUNTY,AWP,,,,SEATTLE ARTCC,ZSE,C,,,,SEATTLE ARTCC,ZSE,C,,,,,,,
2025/03/20,2204.0,A,ATCT,CA,SJC,SAN JOSE,US,KSJC,NORMAN Y MINETA SAN JOSE INTL,AWP,F,SAN JOSE,0600-0000,NORCAL,NCT,T,,,,NORCAL,NCT,T,,,,,,,
2025/03/20,783.0,A,NON-ATCT,AZ,SJN,ST JOHNS,US,KSJN,ST JOHNS INDUSTRIAL AIR PARK,AWP,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,,,,
2025/03/20,7345.0,A,NON-ATCT,KY,SJS,PRESTONSBURG,US,KSJS,BIG SANDY RGNL,ASO,,,,HUNTINGTON,HTS,A,,,,HUNTINGTON,HTS,A,,,,,,,
2025/03/20,24693.0,A,ATCT,TX,SJT,SAN ANGELO,US,KSJT,SAN ANGELO RGNL/MATHIS FLD,ASW,FCT,MATHIS,0700-2100,SAN ANGELO,MAF,A,FORT WORTH ARTCC,ZFW,C,SAN ANGELO,MAF,A,FORT WORTH ARTCC,ZFW,C,,,,
2025/03/20,53180.1,A,ATCT-A/C,PR,SJU,SAN JUAN,US,TJSJ,LUIS MUNOZ MARIN INTL,ASO,F,SAN JUAN,24,SAN JUAN,SJU,A,,,,SAN JUAN,SJU,A,,,,SAN JUAN,F,24,
2025/03/20,9555.0,A,NON-ATCT,MI,SJX,BEAVER ISLAND,US,KSJX,BEAVER ISLAND,AGL,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,,,,
2025/03/20,26419.0,A,ATCT,WA,SKA,SPOKANE,US,KSKA,FAIRCHILD AFB,ANM,A,FAIRCHILD,24,SPOKANE,GEG,A,,,,SPOKANE,GEG,A,,,,,,,
2025/03/20,24704.0,A,ATCT,TX,SKF,SAN ANTONIO,US,KSKF,KELLY FLD,ASW,A,KELLY,24,SAN ANTONIO,SAT,A,,,,SAN ANTONIO,SAT,A,,,,,,,
2025/03/20,6304.0,A,NON-ATCT,IA,SKI,SAC CITY,US,KSKI,SAC CITY MUNI,ACE,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,,,,
2025/03/20,14741.05,A,NON-ATCT,NM,SKX,TAOS,US,KSKX,TAOS RGNL,ASW,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,,,,
2025/03/20,6357.0,A,NON-ATCT,IA,SLB,STORM LAKE,US,KSLB,STORM LAKE MUNI,ACE,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,,,,
2025/03/20,25289.0,A,ATCT,UT,SLC,SALT LAKE CITY,US,KSLC,SALT LAKE CITY INTL,ANM,F,SALT LAKE CITY,24,SALT LAKE CITY,S56,T,,,,SALT LAKE CITY,S56,T,,,,,,,
2025/03/20,19595.0,A,ATCT,OR,SLE,SALEM,US,KSLE,MCNARY FLD,ANM,FCT,SALEM,0700-2100,SEATTLE ARTCC,ZSE,C,,,,SEATTLE ARTCC,ZSE,C,,,,,,,
2025/03/20,1170.1,A,NON-ATCT,AR,SLG,SILOAM SPRINGS,US,KSLG,SMITH FLD,ASW,,,,RAZORBACK,FSM,A,MEMPHIS ARTCC,ZME,C,RAZORBACK,FSM,A,MEMPHIS ARTCC,ZME,C,,,,
2025/03/20,9662.1,A,NON-ATCT,MI,SLH,CHEBOYGAN,US,KSLH,CHEBOYGAN COUNTY,AGL,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,MINNEAPOLIS ARTCC,ZMP,C,,,,,,,
2025/03/20,1796.0,A,ATCT,CA,SLI,LOS ALAMITOS,US,KSLI,LOS ALAMITOS AAF,AWP,R,LOS ALAMITOS,1500-0000Z++ FRI-SUN; 1500-0600Z++ MON-THU; CLSD ALL FEDERAL HOL.  EXP CLOSURE OR RDCD SVC PER NOTAM.,SOCAL,SCT,T,,,,SOCAL,SCT,T,,,,,,,
2025/03/20,11169.0,H,ATCT,MS,SLJ,CAMP SHELBY,US,KSLJ,HAGLER ARMY,ASO,R,HAGLER,0630-1500,,,,,,,,,,,,,,,,
2025/03/20,16097.0,A,NON-ATCT,NY,SLK,SARANAC LAKE,US,KSLK,ADIRONDACK RGNL,AEA,,,,BOSTON ARTCC,ZBW,C,,,,BOSTON ARTCC,ZBW,C,,,,,,,
2025/03/20,6878.0,A,ATCT,KS,SLN,SALINA,US,KSLN,SALINA RGNL,ACE,FCT,SALINA,0700-2300,KANSAS CITY ARTCC,ZKC,C,,,,KANSAS CITY ARTCC,ZKC,C,,,,,,,
2025/03/20,4989.0,A,NON-ATCT,IL,SLO,SALEM,US,KSLO,SALEM-LECKRONE,AGL,,,,KANSAS CITY ARTCC,ZKC,C,,,,KANSAS CITY ARTCC,ZKC,C,,,,,,,
2025/03/20,50711.0,A,NON-ATCT,AK,SLQ,SLEETMUTE,US,PASL,SLEETMUTE,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,24868.0,A,NON-ATCT,TX,SLR,SULPHUR SPRINGS,US,KSLR,SULPHUR SPRINGS MUNI,ASW,,,,FORT WORTH ARTCC,ZFW,C,,,,FORT WORTH ARTCC,ZFW,C,,,,,,,
2025/03/20,5281.0,A,NON-ATCT,IN,SMD,FORT WAYNE,US,KSMD,SMITH FLD,AGL,,,,FORT WAYNE,FWA,A,,,,FORT WAYNE,FWA,A,,,,,,,
2025/03/20,7368.0,A,NON-ATCT,KY,SME,SOMERSET,US,KSME,LAKE CUMBERLAND RGNL,ASO,,,,INDIANAPOLIS ARTCC,ZID,C,,,,INDIANAPOLIS ARTCC,ZID,C,,,,,,,
2025/03/20,2124.2,A,ATCT,CA,SMF,SACRAMENTO,US,KSMF,SACRAMENTO INTL,AWP,F,CAPITOL,24,NORCAL,NCT,T,,,,NORCAL,NCT,T,,,,,,,
2025/03/20,50681.11,A,NON-ATCT,AK,SMK,ST MICHAEL,US,PAMK,ST MICHAEL,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,4323.0,A,NON-ATCT,ID,SMN,SALMON,US,KSMN,LEMHI COUNTY,ANM,,,,SALT LAKE ARTCC,ZLC,C,,,,SALT LAKE ARTCC,ZLC,C,,,,,,,
2025/03/20,2253.0,A,ATCT,CA,SMO,SANTA MONICA,US,KSMO,SANTA MONICA MUNI,AWP,F,SANTA MONICA,0700-2100,SOCAL,SCT,T,,,,SOCAL,SCT,T,,,,,,,
2025/03/20,14311.0,A,NON-ATCT,NJ,SMQ,SOMERVILLE,US,KSMQ,SOMERSET,AEA,,,,NEWARK,PHL,A,,,,NEWARK,PHL,A,,,,,,,
2025/03/20,22539.0,A,NON-ATCT,SC,SMS,SUMTER,US,KSMS,SUMTER,ASO,,,,SHAW,SSC,A,JACKSONVILLE ARTCC,ZJX,C,SHAW,SSC,A,JACKSONVILLE ARTCC,ZJX,C,,,,
2025/03/20,2251.0,A,ATCT,CA,SMX,SANTA MARIA,US,KSMX,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD,AWP,FCT,SANTA MARIA,0600-2000,SANTA BARBARA,SBA,A,L.A. CENTER ARTCC,ZLA,C,SANTA BARBARA,SBA,A,L.A. CENTER ARTCC,ZLA,C,,,,
2025/03/20,2230.0,A,ATCT,CA,SNA,SANTA ANA,US,KSNA,JOHN WAYNE/ORANGE COUNTY,AWP,F,JOHN WAYNE,0615-2300,SOCAL,SCT,T,,,,SOCAL,SCT,T,,,,,,,
2025/03/20,2798.3,A,NON-ATCT,CT,SNC,CHESTER,US,KSNC,CHESTER,ANE,,,,NEW YORK,N90,T,,,,NEW YORK,N90,T,,,,,,,
2025/03/20,23180.0,A,NON-ATCT,TN,SNH,SAVANNAH,US,KSNH,SAVANNAH-HARDIN COUNTY,ASO,,,,MEMPHIS ARTCC,ZME,C,,,,MEMPHIS ARTCC,ZME,C,,,,,,,
2025/03/20,24820.1,A,NON-ATCT,TX,SNK,SNYDER,US,KSNK,WINSTON FLD,ASW,,,,FORT WORTH ARTCC,ZFW,C,,,,FORT WORTH ARTCC,ZFW,C,,,,,,,
2025/03/20,19223.0,A,NON-ATCT,OK,SNL,SHAWNEE,US,KSNL,SHAWNEE RGNL,ASW,,,,OKE CITY,OKC,A,,,,OKE CITY,OKC,A,,,,,,,
2025/03/20,50682.0,A,NON-ATCT,AK,SNP,ST PAUL ISLAND,US,PASN,ST PAUL ISLAND,AAL,,,,ANCHORAGE ARTCC,ZAN,C,,,,ANCHORAGE ARTCC,ZAN,C,,,,,,,
2025/03/20,2137.0,A,ATCT,CA,SNS,SALINAS,US,KSNS,SALINAS MUNI,AWP,FCT,SALINAS,0600-1900 OCT-MAR; 0500-1900 APR-SEP,NORCAL,NCT,T,,,,NORCAL,NCT,T,,,,,,,
2025/03/20,12927.0,A,NON-ATCT,NE,SNY,SIDNEY,US,KSNY,SIDNEY MUNI/LLOYD W CARR FLD,ACE,,,,DENVER ARTCC,ZDV,C,,,,DENVER ARTCC,ZDV,C,,,,,,,
2025/03/20,24827.3,A,NON-ATCT,TX,SOA,SONORA,US,KSOA,SONORA MUNI,ASW,,,,HOUSTON ARTCC,ZHU,C,,,,HOUSTON ARTCC,ZHU,C,,,,,,,
2025/03/20,17016.0,A,NON-ATCT,NC,SOP,PINEHURST/SOUTHERN PINES,US,KSOP,MOORE COUNTY,ASO,,,,FAYETTEVILLE,FAY,A,,,,FAYETTEVILLE,FAY,A,,,,,,,
2025/03/20,794.1,A,NON-ATCT,AZ,SOW,SHOW LOW,US,KSOW,SHOW LOW RGNL,AWP,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,ALBUQUERQUE ARTCC,ZAB,C,,,,,,,
2025/03/20,22531.0,A,NON-ATCT,SC,SPA,SPARTANBURG,US,KSPA,SPARTANBURG DOWNTOWN MEML/SIMPSON FLD,ASO,,,,GREER,GSP,A,ATLANTA ARTCC,ZTL,C,GREER,GSP,A,ATLANTA ARTCC,ZTL,C,,,,
2025/03/20,19598.0,A,NON-ATCT,OR,SPB,SCAPPOOSE,US,KSPB,SCAPPOOSE,ANM,,,,PORTLAND,P80,T,,,,PORTLAND,P80,T,,,,,,,
2025/03/20,22798.0,A,NON-ATCT,SD,SPF,SPEARFISH,US,KSPF,BLACK HILLS-CLYDE ICE FLD,AGL,,,,ELLSWORTH,RCA,A,DENVER ARTCC,ZDV,C,ELLSWORTH,RCA,A,DENVER ARTCC,ZDV,C,,,,
2025/03/20,3474.0,A,ATCT,FL,SPG,ST PETERSBURG,US,KSPG,ALBERT WHITTED,ASO,FCT,WHITTED,0700-2100,TAMPA,TPA,A,,,,TAMPA,TPA,A,,,,,,,
